ID,Start_time,End_time,Start_time_String,End_time_string,Item,Price,Normal Price,Diff.,Quantity,Quantity (in kg),Price per kg,Normal Price per kg
9131,1691893862,1691911800,2023-08-13 08:01:02,2023-08-13 13:00:00,Gaj Desi Ghee,469,469,0,1 L,1.0,469.0,469.0
5679,1691893862,1691911800,2023-08-13 08:01:02,2023-08-13 13:00:00,Ananda Toned Milk Curd Pouch (Dahi),69,69,0,1 kg,1.0,69.0,69.0
3890,1691893862,1691911800,2023-08-13 08:01:02,2023-08-13 13:00:00,One Farm Kachi Ghani Mustard Oil  (Best Before - 1st October 2023),130,130,0,1 L,1.0,130.0,130.0
996,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Tomato - Desi (Tamatar),51,54,3,450 g,0.45,113.33333333333333,120.0
1071,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Bhindi (Okra),15,20,5,500 g,0.5,30.0,40.0
980,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Bottle Gourd - Long (Lauki),26,30,4,700 g,0.7,37.142857142857146,42.85714285714286
5141,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Banana - Medium,32,39,7,550 g,0.55,58.18181818181818,70.9090909090909
771,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Onion (Pyaaz),32,35,3,1 kg,1.0,32.0,35.0
835,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Cucumber - Hybrid (Kheera),20,21,1,700 g,0.7,28.571428571428573,30.000000000000004
3384,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Tender Coconut,52,59,7,1 pc,1.0,52.0,59.0
1900,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Potato (Aloo),27,30,3,1 kg,1.0,27.0,30.0
871,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Sponge Gourd (Tori),28,29,1,600 g,0.6,46.66666666666667,48.333333333333336
826,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Carrot - Orange (Gajar),24,25,1,500 g,0.5,48.0,50.0
832,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Bitter Gourd (Karela),29,30,1,500 g,0.5,58.0,60.0
460,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Papaya - Small (Papita),70,72,2,1.2 kg,1.2,58.333333333333336,60.0
798,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Beans - French (Phali),29,30,1,250 g,0.25,116.0,120.0
1503,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Farm Tale Cow Milk,33,36,3,500 ml,0.5,66.0,72.0
1691,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Farm Tale Buffalo Milk,42,45,3,500 ml,0.5,84.0,90.0
4505,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Capsicum - Green (Shimla Mirch),49,50,1,400 g,0.4,122.5,125.0
1619,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Nutraj California Inshell Walnuts (Sabut),599,599,0,1 kg,1.0,599.0,599.0
6213,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Rajdhani Arhar Dal,110,110,0,500 g,0.5,220.0,220.0
9090,1691913351,1691922600,2023-08-13 13:25:51,2023-08-13 16:00:00,Diat Mini Mogra Rice 5 kg (Small Broken),230,230,0,5 kg,5.0,46.0,46.0
